temperature,pump cooler freq,concentration,light intensity
 temperature, pump cooler freq, concentration, light intensity
 15.31343, 1, 19283.92, 1579.84
 15.80153, 1, 19722.85, 1579.01
 15.68439, 1, 21189.97, 1578.12
 15.4862, 1, 19806.66, 1575.53
 15.55851, 1, 19734.43, 1570.8
 15.43431, 1, 20491.99, 1578.56
 15.81361, 1, 20205.58, 1571.53
 15.83259, 1, 19344.57, 1577.04
 15.84278, 1, 19670.88, 1579.17
 15.7205, 1, 18669.56, 1583.35
 15.54404, 1, 17627.33, 1580.8
 15.3568, 1, 16799.86, 1585.47
 15.51199, 1, 19234.87, 1580.29
 15.61548, 1, 17719.39, 1579.49
 15.67581, 1, 19737.3, 1578.5
 15.74989, 1, 18444.81, 1583.98
 15.63267, 1, 19090.6, 1584.27
 15.89634, 1, 18926.16, 1581.21
 15.71017, 1, 18297.9, 1580.4
 16.01004, 1, 18816.59, 1583.37
 15.65849, 1, 19047.34, 1577.29
 15.65834, 1, 18263.36, 1585.52
 15.94285, 1, 17929.41, 1581.7
 15.74471, 1, 18047.41, 1579.9
 15.77061, 1, 19197.36, 1578.42
 15.59825, 1, 16860.18, 1582.96
 15.80844, 1, 18395.83, 1584.63
 15.77055, 1, 18323.82, 1586.31
 15.67575, 1, 18263.36, 1588.26
 15.79645, 1, 17061.18, 1580.13
 15.65848, 1, 18113.62, 1585.17
 15.62398, 1, 16469.89, 1580.61
 15.82397, 1, 19959.84, 1585.72
 15.75334, 1, 17705.0, 1584.19
 15.84458, 1, 20087.02, 1581.74
 15.93417, 1, 18050.3, 1582.82
 15.81365, 1, 18467.85, 1575.0
 15.61544, 1, 19564.01, 1582.4
 15.70153, 1, 19047.34, 1578.4
 15.75339, 1, 20772.77, 1578.26
 15.83088, 1, 18283.5, 1580.71
 15.76192, 1, 18534.12, 1583.07
 15.87387, 1, 18315.17, 1581.35
 15.53778, 1, 19977.17, 1582.04
 15.93068, 1, 19731.53, 1581.97
 15.77057, 1, 18007.11, 1581.38
 15.70162, 1, 17227.81, 1579.66
 15.63272, 1, 19272.41, 1576.53
 15.89105, 1, 19001.16, 1575.73
 15.67561, 1, 17776.91, 1579.06
 15.62394, 1, 19919.37, 1581.19
 15.81369, 1, 17748.17, 1576.97
 15.99447, 1, 18335.36, 1582.07
 15.70143, 1, 18352.63, 1582.61
 15.9601, 1, 18513.98, 1575.75
 15.86352, 1, 17469.21, 1582.17
 15.8754, 1, 16751.08, 1581.53
 15.7757, 1, 16883.13, 1582.06
 15.60671, 1, 18136.64, 1582.03
 15.83091, 1, 17428.97, 1587.01
 15.98418, 1, 15962.47, 1584.87
 15.581, 1, 18609.05, 1587.05
 16.09102, 1, 17549.72, 1582.45
 15.86536, 1, 18104.97, 1582.64
 15.95147, 1, 18508.19, 1585.08
 15.69261, 1, 17474.99, 1582.5
 15.82051, 1, 18632.13, 1587.64
 15.87392, 1, 17420.34, 1582.84
 16.05139, 1, 17607.23, 1582.12
 15.82913, 1, 18030.12, 1588.15
 15.82216, 1, 17371.49, 1587.48
 15.7789, 1, 18577.36, 1589.2
 15.83947, 1, 18096.33, 1587.61
 16.01177, 1, 16163.04, 1586.03
 15.86173, 1, 17500.84, 1585.13
 16.0721, 1, 17325.5, 1579.89
 15.82228, 1, 17601.48, 1577.88
 15.8705, 1, 17127.25, 1585.39
 15.86504, 1, 16644.92, 1582.07
 15.71029, 1, 18684.0, 1584.89
 15.98246, 1, 19639.09, 1578.94
 15.98591, 1, 17912.16, 1579.27
 15.69263, 1, 16814.25, 1584.26
 15.81363, 1, 17199.06, 1579.88
 15.84804, 1, 18568.71, 1581.57
 15.9428, 1, 16581.8, 1585.23
 15.93907, 1, 17170.32, 1578.33
 15.87393, 1, 17771.16, 1581.34
 15.89975, 1, 17955.31, 1587.54
 15.62852, 1, 17592.84, 1584.07
 15.94287, 1, 18416.02, 1582.21
 15.86519, 1, 17443.35, 1586.47
 15.9858, 1, 17325.5, 1586.42
 15.7446, 1, 18119.4, 1580.72
 15.95149, 1, 17472.1, 1581.0
 15.87389, 1, 17975.46, 1580.9
 16.03244, 1, 17650.38, 1581.26
 15.76188, 1, 17331.25, 1585.46
 16.21325, 1, 18626.37, 1584.41
 16.08064, 1, 18058.92, 1582.53
 16.02727, 1, 18375.69, 1586.48
 15.82226, 1, 17328.39, 1581.43
 15.80258, 1, 18859.86, 1579.75
 16.13406, 1, 18894.44, 1588.21
 15.75304, 1, 18237.42, 1584.64
 15.7619, 1, 18234.56, 1579.86
 16.10353, 1, 17305.36, 1585.8
 15.94285, 1, 16487.09, 1583.0
 16.00309, 1, 17820.08, 1589.41
 15.94286, 1, 17176.09, 1584.94
 16.05486, 1, 18571.57, 1586.26
 16.13063, 1, 16799.86, 1581.63
 15.97727, 1, 16848.68, 1585.64
 16.02028, 1, 16429.73, 1580.85
 16.03413, 1, 17066.92, 1589.7
 15.70137, 1, 18320.93, 1587.72
 15.79627, 1, 17078.43, 1587.77
 15.94284, 1, 18007.11, 1581.33
 16.1048, 1, 18588.88, 1584.76
 16.00309, 1, 16929.07, 1588.76
 15.95116, 1, 18335.36, 1588.44
 16.14098, 1, 17710.75, 1580.52
 15.85667, 1, 18689.77, 1584.2
 16.22184, 1, 17382.98, 1580.92
 15.94284, 1, 17811.44, 1588.1
 16.03761, 1, 17483.57, 1579.53
 16.05483, 1, 15716.1, 1583.12
 15.96321, 1, 19442.72, 1582.54
 16.02895, 1, 18087.74, 1582.34
 16.35103, 1, 17170.32, 1589.33
 16.05484, 1, 18369.91, 1579.43
 16.2183, 1, 18081.96, 1580.7
 16.19608, 1, 16515.79, 1585.88
 16.2529, 1, 16191.72, 1586.48
 16.11514, 1, 19064.67, 1584.82
 15.86515, 1, 17736.64, 1580.22
 16.17882, 1, 17659.02, 1581.5
 16.12371, 1, 16937.7, 1582.69
 16.2598, 1, 16598.98, 1584.46
 16.20631, 1, 18320.93, 1579.33
 16.03411, 1, 17938.05, 1582.5
 16.13061, 1, 17405.98, 1587.95
 16.27874, 1, 17328.39, 1584.04
 15.99455, 1, 18263.36, 1582.9
 16.00139, 1, 18027.26, 1586.21
 16.24587, 1, 16561.69, 1585.19
 16.00142, 1, 18344.01, 1578.61
 16.22351, 1, 18410.27, 1583.55
 16.08584, 1, 19243.54, 1581.51
 16.05112, 1, 16980.76, 1580.1
 16.27014, 1, 17863.23, 1581.65
 16.27872, 1, 20153.53, 1582.57
 16.00992, 1, 18640.75, 1579.59
 16.09445, 1, 18358.39, 1581.51
 16.31488, 1, 17690.65, 1585.93
 16.14094, 1, 17020.96, 1585.71
 16.20801, 1, 17334.13, 1585.37
 16.08388, 1, 17814.3, 1585.67
 15.98239, 1, 18931.95, 1578.95
 16.23224, 1, 18390.07, 1581.64
 16.05277, 1, 19018.48, 1580.46
 16.23569, 1, 21964.48, 1572.04
 16.10647, 1, 20845.17, 1565.84
 16.10287, 1, 18819.49, 1570.66
 16.18914, 1, 21624.95, 1569.84
 16.17192, 1, 20445.69, 1571.59
 16.18051, 1, 21799.03, 1577.41
 16.19092, 1, 20159.31, 1577.75
 16.48018, 1, 21071.16, 1571.49
 16.0858, 1, 19307.02, 1571.91
 16.47846, 1, 20526.73, 1570.08
 16.25287, 1, 20503.59, 1580.01
 16.1771, 1, 19067.51, 1574.38
 16.10813, 1, 21123.31, 1574.45
 16.39407, 1, 21740.99, 1575.31
 16.38719, 1, 17946.7, 1578.11
 16.35451, 1, 20173.77, 1578.52
 16.30621, 1, 20685.94, 1571.48
 16.20118, 1, 21566.91, 1576.63
 16.28726, 1, 21053.75, 1572.94
 16.17019, 1, 20688.84, 1571.8
 16.3872, 1, 20269.23, 1574.45
 16.22693, 1, 21665.57, 1576.32
 16.38893, 1, 21662.66, 1575.89
 16.30974, 1, 21920.95, 1575.24
 16.11844, 1, 21071.16, 1568.48
 16.25271, 1, 22536.82, 1569.51
 16.27008, 1, 21671.34, 1571.02
 16.16675, 1, 21317.5, 1570.55
 16.08055, 1, 19925.15, 1573.76
 16.28521, 1, 21155.19, 1572.79
 16.14091, 1, 21816.43, 1572.58
 16.37338, 1, 22164.86, 1576.91
 16.50538, 1, 19471.58, 1569.31
 16.57661, 1, 19558.21, 1570.11
 16.33376, 1, 21198.65, 1574.67
 16.37338, 1, 22092.25, 1573.66
 16.28361, 1, 21146.48, 1575.11
 16.73156, 1, 21450.91, 1564.74
 16.3545, 1, 21874.5, 1569.65
 16.32344, 1, 21886.14, 1573.66
 16.39754, 1, 20645.4, 1566.58
 16.34581, 1, 21485.72, 1573.92
 16.44056, 1, 20781.47, 1575.69
 16.26663, 1, 21709.05, 1570.42
 16.31421, 1, 20662.76, 1565.35
 16.46636, 1, 21097.21, 1568.19
 16.34237, 1, 22719.98, 1569.77
 16.53356, 1, 22269.43, 1572.87
 16.43194, 1, 22002.22, 1575.08
 16.43025, 1, 21894.8, 1571.76
 16.54906, 1, 22673.46, 1566.64
 16.27181, 1, 21987.72, 1570.07
 16.29591, 1, 21323.32, 1571.1
 16.40616, 1, 20992.91, 1566.21
 16.41475, 1, 22234.59, 1568.58
 16.3734, 1, 21439.29, 1567.82
 16.39408, 1, 21433.49, 1565.97
 16.61449, 1, 22705.44, 1571.38
 16.43885, 1, 21282.73, 1565.48
 16.41993, 1, 20535.42, 1569.52
 16.46642, 1, 22289.77, 1573.81
 16.73326, 1, 21668.46, 1568.42
 16.49395, 1, 21410.3, 1572.89
 16.43885, 1, 21300.14, 1567.07
 16.3579, 1, 22222.95, 1570.8
 16.44576, 1, 22051.59, 1574.12
 16.5215, 1, 21877.42, 1570.85
 16.37324, 1, 21195.77, 1574.27
 16.57146, 1, 20437.03, 1565.25
 32.42301, 15015, 21105.91, 1570.61
 16.9966, 7598, 20758.32, 1570.41
 16.68849, 1, 21042.17, 1569.32
 16.56957, 1, 22496.12, 1575.99
 16.86298, 1, 20439.88, 1571.82
 16.73672, 1, 19951.16, 1570.52
 16.60645, 1, 21245.03, 1572.3
 16.7264, 1, 20833.62, 1570.32
 16.69882, 1, 21288.52, 1570.72
 17.06392, 1, 20321.29, 1567.2
 16.599, 1, 20555.65, 1570.58
 16.92437, 1, 19904.89, 1570.63
 16.73328, 1, 20755.44, 1571.87
 16.64547, 1, 22193.92, 1574.18
 16.89494, 1, 21607.53, 1571.43
 16.71608, 1, 21126.2, 1570.49
 16.74362, 1, 20850.99, 1570.73
 16.59381, 1, 21349.38, 1572.85
 16.48019, 1, 20087.02, 1576.68
 16.46642, 1, 20214.26, 1578.69
 16.73673, 1, 18672.45, 1573.42
 16.36805, 1, 20819.13, 1573.78
 16.75394, 1, 19030.01, 1584.8
 16.90944, 1, 16937.7, 1579.96
 16.54383, 1, 17279.52, 1580.15
 17.12714, 1, 18044.55, 1582.43
 17.19936, 1, 15555.75, 1583.87
 17.1948, 1, 18136.64, 1585.89
 17.01791, 1, 17989.82, 1582.64
 16.94503, 1, 18395.83, 1585.71
 16.82622, 1, 18580.23, 1585.66
 16.82278, 1, 18464.98, 1580.99
 16.77514, 1, 17774.03, 1585.98
 16.80042, 1, 15962.47, 1580.77
 16.85895, 1, 16742.46, 1583.79
 16.76025, 1, 18355.5, 1579.95
 16.83824, 1, 17779.8, 1581.62
 16.66786, 1, 19102.13, 1584.19
 16.75562, 1, 18793.54, 1583.58
 17.12465, 1, 18557.19, 1581.9
 16.89855, 1, 17018.08, 1584.11
 16.85029, 1, 18142.42, 1586.67
 16.85724, 1, 15979.62, 1579.91
 16.85896, 1, 16992.24, 1587.03
 17.05521, 1, 17322.62, 1579.85
 29.09335, 15015, 16464.15, 1584.82
 17.5178, 15015, 18660.93, 1580.08
 17.15282, 1, 17986.96, 1585.35
 16.9462, 1, 17834.47, 1586.43
 16.55378, 1, 18825.25, 1577.71
 17.08049, 1, 18787.78, 1573.21
 16.95977, 1, 18001.36, 1580.63
 16.94216, 1, 17834.47, 1579.46
 17.12178, 1, 19610.19, 1582.32
 17.15792, 1, 18764.73, 1582.61
 16.88133, 1, 19168.53, 1584.14
 17.29221, 4180, 17753.91, 1585.07
 16.64199, 1, 18318.06, 1582.14
